course_id,num_course_sale,course_sale_revenue,num_refunded_sale,refunded_sale_revenue
6431677,1,5.02,1,-5.02
5999010,1,3.76,0,0.00
6489503,2,4.97,0,0.00
6428509,1,3.64,0,0.00
6770177,0,0.00,0,0.00
6469477,0,0.00,0,0.00
6770765,0,0.00,0,0.00
6456409,2,3.94,1,-3.94
6756055,2,6.94,1,-3.59
6496983,0,0.00,0,0.00
6131753,1,4.66,0,0.00
6763995,1,1.66,1,-1.66
6806279,0,0.00,0,0.00
6771653,0,0.00,0,0.00
6464595,0,0.00,0,0.00
6469955,0,0.00,0,0.00
6683197,0,0.00,0,0.00
6001160,1,3.94,1,-3.94
6395599,0,0.00,0,0.00
6487275,2,9.31,0,0.00
6771613,0,0.00,0,0.00
6421563,0,0.00,0,0.00
6205771,1,1.47,1,-1.47
6687531,1,1.90,0,0.00
6428379,0,0.00,0,0.00
6449391,0,0.00,0,0.00
6395783,0,0.00,0,0.00
6602285,0,0.00,0,0.00
6428415,0,0.00,0,0.00
6768179,0,0.00,0,0.00
6745069,0,0.00,0,0.00
6463213,1,1.73,1,-1.73
6421097,0,0.00,0,0.00
6778679,0,0.00,0,0.00
6358531,3,10.86,1,-1.95
6495119,0,0.00,0,0.00
6478737,2,4.53,0,0.00
6479029,1,3.57,0,0.00
6386921,0,0.00,0,0.00
6424167,0,0.00,0,0.00
6765871,0,0.00,0,0.00
6492953,5,12.65,1,-4.65
6391287,0,0.00,0,0.00
6480891,1,3.59,0,0.00
6806559,0,0.00,0,0.00
6450209,0,0.00,0,0.00
5932766,6,11.41,3,-11.41
6168529,1,1.88,1,-1.88
6495067,0,0.00,0,0.00
6439971,0,0.00,0,0.00
6391229,0,0.00,0,0.00
6592187,1,4.30,0,0.00
6419141,0,0.00,0,0.00
6442415,0,0.00,0,0.00
6442375,3,12.50,1,-2.34
6616367,47,248.26,7,-53.92
6770367,0,0.00,0,0.00
6592289,7,30.86,1,-3.62
6418369,2,8.31,2,-8.31
6770635,0,0.00,0,0.00
6422959,3,14.27,1,-3.88
6756357,0,0.00,0,0.00
6771823,0,0.00,0,0.00
5941036,19,50.73,1,-4.72
6498673,2,4.85,1,-3.44
6435915,1,3.36,0,0.00
6418299,0,0.00,0,0.00
6737389,0,0.00,0,0.00
6362907,3,14.62,0,0.00
6426935,2,9.22,1,-5.56
6423973,0,0.00,0,0.00
6690291,0,0.00,0,0.00
6492083,4,18.60,0,0.00
6499047,1,0.00,0,0.00
6764097,1,3.41,0,0.00
6492859,0,0.00,0,0.00
6695251,3,16.72,0,0.00
6465705,3,12.07,0,0.00
6444071,0,0.00,0,0.00
6789683,0,0.00,0,0.00
6355409,0,0.00,0,0.00
6360683,0,0.00,0,0.00
6474575,0,0.00,0,0.00
6474445,1,3.31,0,0.00
6770653,4,46.48,0,0.00
6750619,1,1.96,0,0.00
6446243,1,5.36,0,0.00
6775795,0,0.00,0,0.00
6806639,0,0.00,0,0.00
6694609,2,7.90,0,0.00
6414407,0,0.00,0,0.00
6687597,0,0.00,0,0.00
6470543,2,3.94,1,-3.94
6801111,0,0.00,0,0.00
6738565,0,0.00,0,0.00
6806925,0,0.00,0,0.00
6758179,0,0.00,0,0.00
6778209,0,0.00,0,0.00
6424031,0,0.00,0,0.00
6594951,5,18.99,0,0.00
6776389,0,0.00,0,0.00
6768075,0,0.00,0,0.00
6442529,0,0.00,0,0.00
6492755,1,2.49,0,0.00
6764753,3,22.85,0,0.00
6754897,0,0.00,0,0.00
6779675,0,0.00,0,0.00
6781073,0,0.00,0,0.00
6454515,12,44.38,6,-24.55
6478405,4,10.40,1,-4.17
6681805,0,0.00,0,0.00
6449649,0,0.00,0,0.00
6751587,0,0.00,0,0.00
6753047,1,1.56,0,0.00
6424067,0,0.00,0,0.00
6684625,1,4.29,0,0.00
6430661,0,0.00,0,0.00
6760361,0,0.00,0,0.00
6771765,30,145.75,9,-76.06
6804673,0,0.00,0,0.00
6369857,0,0.00,0,0.00
5937958,7,22.17,1,-4.76
6371379,0,0.00,0,0.00
6429371,0,0.00,0,0.00
6461533,0,0.00,0,0.00
6435415,0,0.00,0,0.00
6608411,13,43.15,1,-2.96
6788137,0,0.00,0,0.00
6765911,0,0.00,0,0.00
6804909,0,0.00,0,0.00
6488537,8,24.61,0,0.00
6455649,7,20.65,1,-3.94
6418685,2,8.01,0,0.00
6476295,0,0.00,0,0.00
6174729,13,50.01,2,-12.77
6446927,2,8.72,0,0.00
6452645,0,0.00,0,0.00
6738145,0,0.00,0,0.00
6437907,2,10.37,0,0.00
6481597,1,1.58,0,0.00
6764739,3,9.60,0,0.00
6449493,0,0.00,0,0.00
6435147,2,5.76,0,0.00
6435207,1,4.64,0,0.00
6805001,0,0.00,0,0.00
6748933,0,0.00,0,0.00
6753653,0,0.00,0,0.00
6433715,0,0.00,0,0.00
6340409,0,0.00,0,0.00
6422509,2,10.39,0,0.00
6806493,0,0.00,0,0.00
6449213,0,0.00,0,0.00
6494427,0,0.00,0,0.00
6762025,0,0.00,0,0.00
6033612,5,13.48,2,-2.98
6466211,1,3.59,0,0.00
6462497,0,0.00,0,0.00
6447145,0,0.00,0,0.00
6758799,0,0.00,0,0.00
6767561,1,2.33,0,0.00
6431553,2,19.59,1,-3.48
6761517,0,0.00,0,0.00
6748867,0,0.00,0,0.00
6807573,0,0.00,0,0.00
6483777,2,4.99,0,0.00
6064519,1,2.08,1,-2.08
6698231,0,0.00,0,0.00
6756757,0,0.00,0,0.00
6464707,0,0.00,0,0.00
6348721,1,5.38,0,0.00
6746139,0,0.00,0,0.00
6750565,4,11.22,2,-4.60
6434185,2,4.15,0,0.00
6418815,10,27.72,1,-1.74
5945952,5,26.99,0,0.00
6478101,1,1.57,0,0.00
6414439,0,0.00,0,0.00
6347335,0,0.00,0,0.00
6773269,0,0.00,0,0.00
6493001,0,0.00,0,0.00
6474869,0,0.00,0,0.00
6493779,0,0.00,0,0.00
6469575,3,5.76,1,-2.47
6766039,1,3.51,0,0.00
6402741,1,1.83,0,0.00
6452101,0,0.00,0,0.00
6438131,2,2.62,1,-1.03
6384687,0,0.00,0,0.00
6416897,0,0.00,0,0.00
6432953,2,9.50,1,-4.85
5993450,0,0.00,0,0.00
6789707,0,0.00,0,0.00
6485759,0,0.00,0,0.00
6009740,2,2.26,0,0.00
6442461,5,21.04,1,-4.77
6767921,0,0.00,0,0.00
6424803,0,0.00,0,0.00
6400809,12,59.22,2,-10.03
6763709,0,0.00,0,0.00
6494493,3,7.01,0,0.00
6435237,0,0.00,0,0.00
6423251,0,0.00,0,0.00
6485825,0,0.00,0,0.00
6761389,1,16.11,0,0.00
6446293,0,0.00,0,0.00
6756839,1,5.74,0,0.00
6398033,3,10.92,1,-3.94
6371929,0,0.00,0,0.00
6446641,0,0.00,0,0.00
5995750,0,0.00,0,0.00
6483315,0,0.00,0,0.00
6428729,0,0.00,0,0.00
6481785,0,0.00,0,0.00
6764857,0,0.00,0,0.00
6746311,0,0.00,0,0.00
6490639,1,5.37,0,0.00
6479851,0,0.00,0,0.00
6488229,0,0.00,0,0.00
6777781,0,0.00,0,0.00
6683045,3,15.74,0,0.00
6739541,1,4.66,0,0.00
6433445,4,16.20,0,0.00
6748451,3,23.96,0,0.00
6391997,0,0.00,0,0.00
6599357,33,90.07,3,-13.60
6444813,11,51.80,2,-3.46
6468713,2,3.94,1,-3.94
